ds,precio_ref,unidades_total,monto_total
2017-01-01,990.0,158,142740
2017-01-02,990.0,152,137180
2017-01-03,990.0,125,115390
2017-01-04,990.0,107,98710
2017-01-05,990.0,103,96270
2017-01-06,990.0,93,84808
2017-01-07,990.0,156,138290
2017-01-08,990.0,96,86110
2017-01-09,990.0,95,89490
2017-01-10,990.0,106,96390
2017-01-11,990.0,88,81420
2017-01-12,990.0,85,78830
2017-01-13,990.0,118,106750
2017-01-14,990.0,98,89610
2017-01-15,990.0,73,65430
2017-01-16,990.0,80,73880
2017-01-17,990.0,118,111500
2017-01-18,990.0,115,108530
2017-01-19,990.0,96,87060
2017-01-20,990.0,98,89420
2017-01-21,990.0,98,89610
2017-01-22,990.0,99,93070
2017-01-23,990.0,109,99930
2017-01-24,990.0,124,112880
2017-01-25,990.0,103,93610
2017-01-26,990.0,84,77460
2017-01-27,990.0,143,132830
2017-01-28,990.0,102,94140
2017-01-29,990.0,99,91550
2017-01-30,990.0,114,102220
2017-01-31,990.0,91,84010
2017-02-01,990.0,76,71440
2017-02-02,990.0,93,84850
2017-02-03,990.0,71,66110
2017-02-04,990.0,76,70490
2017-02-05,990.0,100,91210
2017-02-06,990.0,76,68590
2017-02-07,990.0,76,70870
2017-02-08,990.0,82,73960
2017-02-09,990.0,104,94220
2017-02-10,990.0,93,84850
2017-02-11,990.0,132,118900
2017-02-12,990.0,99,90030
2017-02-13,990.0,77,70530
2017-02-14,990.0,94,85080
2017-02-15,990.0,109,102590
2017-02-16,990.0,108,97040
2017-02-17,990.0,94,86030
2017-02-18,990.0,112,101570
2017-02-19,990.0,93,86180
2017-02-20,990.0,113,106170
2017-02-21,990.0,121,111430
2017-02-22,990.0,113,103510
2017-02-23,990.0,147,134890
2017-02-24,990.0,153,140830
2017-02-25,990.0,103,95130
2017-02-26,990.0,157,140990
2017-02-27,990.0,96,88960
2017-02-28,990.0,106,101520
2017-03-01,990.0,71,65730
2017-03-02,990.0,75,69690
2017-03-03,990.0,124,113640
2017-03-04,990.0,115,107770
2017-03-05,990.0,110,101300
2017-03-06,990.0,88,79900
2017-03-07,990.0,69,64890
2017-03-08,990.0,79,71750
2017-03-09,990.0,87,81190
2017-03-10,990.0,88,82180
2017-03-11,990.0,102,94900
2017-03-12,990.0,75,68170
2017-03-13,990.0,65,59790
2017-03-14,990.0,70,64740
2017-03-15,990.0,87,79670
2017-03-16,990.0,63,57050
2017-03-17,990.0,69,65270
2017-03-18,990.0,60,55600
2017-03-19,990.0,50,47600
2017-03-20,990.0,69,63370
