"ds";"precio_ref";"unidades_total";"monto_total";"season";"pandemia";"precio"
2022-02-01;1100;44;48400;"1";"1";"0"
2022-02-02;1100;84;92255;"1";"1";"0"
2022-02-03;1100;52;57055;"1";"1";"0"
2022-02-04;1100;79;86755;"1";"1";"0"
2022-02-05;1100;84;92110;"1";"1";"0"
2022-02-06;1100;64;70110;"1";"1";"0"
2022-02-07;1100;50;54855;"1";"1";"0"
2022-02-08;1100;63;69010;"1";"1";"0"
2022-02-09;1100;64;70400;"1";"1";"0"
2022-02-10;1100;70;76733;"1";"1";"0"
2022-02-11;1100;90;98710;"1";"1";"0"
2022-02-12;1100;88;96800;"1";"1";"0"
2022-02-13;1100;74;81133;"1";"1";"0"
2022-02-14;1100;63;68720;"1";"1";"0"
2022-02-15;1100;67;73410;"1";"1";"0"
2022-02-16;1100;62;67910;"1";"1";"0"
2022-02-17;1100;80;87298;"1";"1";"0"
2022-02-18;1100;113;124155;"1";"1";"0"
2022-02-19;1100;171;187955;"1";"1";"0"
2022-02-20;1100;145;158775;"1";"1";"0"
2022-02-21;1100;85;93500;"1";"1";"0"
2022-02-22;1100;90;98855;"1";"1";"0"
2022-02-23;1100;83;91033;"1";"1";"0"
2022-02-24;1100;72;78643;"1";"1";"0"
2022-02-25;1100;101;109887;"1";"1";"0"
2022-02-26;1100;99;108610;"1";"1";"0"
2022-02-27;1100;104;113019;"1";"1";"0"
2022-02-28;1100;101;110371;"1";"1";"0"
